1,Verina Wrate,43,6826064971
2,Isaak Duckers,60,5501878617
3,Saunder Jonsson,52,4298779661
4,Tasia Hannant,47,8696591426
5,Aeriel Fibbitts,61,3322734352
6,Fran Wakely,49,1914172269
7,Ethelred Hane,57,4194931629
8,Cammie Anstee,38,3219841854
9,Fionnula Melchior,29,8935547059
10,Jillane Ream,30,8449381612
11,Conchita Colpus,36,7443387841
12,Fenelia Bennetto,42,4675159294
13,Niels Shapira,26,6096229087
14,Job Thumim,53,6121183924
15,Haroun Cescotti,62,3335169765
16,Tobey Coton,35,9427010353
17,Sergei Devers,65,3144125560
18,Codie Jendas,50,2763111384
19,Darrell Flegg,27,3428136306
20,Fabien Comiam,55,9872387808
21,Ulises Hawick,39,1434955433
22,Addi MacAdie,32,6293956316
23,Anabel Lovart,34,3107211956
24,Cheslie Beecheno,54,5967455335
25,Ingra Trevaskis,51,6094252194
26,Livvyy Kirkhouse,48,4378749296
27,Dody Moorey,58,6129422547
28,Rodolphe Synnott,40,6409051210
29,Lauree Lait,45,5816175359
30,Brunhilda Vatcher,63,4551082712
31,Minnaminnie Dunne,37,5482790908
32,Donna Alabastar,59,4602111376
33,Arlen Lickorish,44,8716241822
34,Gill Armit,33,6173621048
35,Brigit Belcher,46,4338500722
36,Cathie Tryhorn,31,2143014260
37,Roman Whordley,66,9397913077
38,Sophia Lilbourne,64,5595687171
39,Linet Wooles,56,8287251084
40,Geralda Dowrey,41,2372641536
